csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles With Stats,Fully Contained Tiles Without Stats,Sampling Tiles,Sampling Rate,Sampling Rounds,Expanded nodes,I/Os,Time (sec),Confidence Interval,Error Bound,run
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,0,"Query{op=null, rect=(-73.99..-73.94),(40.745..40.77), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,8969,10000,0,0,0,0,0.0,0,0,0,282.239620071,null,,3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,1,"Query{op=P, rect=(-73.9965..-73.9465),(40.74825..40.77325), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9209,10180,340,270,0,149,9.270116566539764E-4,1,0,1957,0.883529889,"{17=[8.315061769728965E8, 8.334025288611616E8], 3=[1.0342599446934891E8, 1.0367558007301447E8], 4=[1.4844047867396787E8, 1.4895099870945165E8], 12=[6.914556287362435E8, 6.929977255867712E8]}","{17=0.0011390125366154118, 3=0.00120513619569081, 4=0.0017166599392005326, 12=0.0011138669610734808}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,2,"Query{op=P, rect=(-73.9895..-73.93951),(40.75175..40.776752), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9461,10369,344,270,8,172,5.245400725524925E-4,1,0,2002,0.562455163,"{17=[6.858182000419097E8, 6.891352926377437E8], 3=[8.62007946687451E7, 8.662722260788691E7], 4=[1.2215140260132137E8, 1.2302670961580047E8], 12=[5.696694271521046E8, 5.723956405726025E8]}","{17=0.0024125125784213394, 3=0.0024673542279852736, 4=0.003570086279577669, 12=0.00238709115403488}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,3,"Query{op=P, rect=(-73.9895..-73.93951),(40.7495..40.7745), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10069,10825,437,252,255,573,2.988628047307749E-4,1,0,2507,0.819434213,"{17=[6.936813072546601E8, 6.989348665292084E8], 3=[8.654236996734355E7, 8.726126704854132E7], 4=[1.2347421529389432E8, 1.2489775321012944E8], 12=[5.757963117893814E8, 5.801643410462598E8]}","{17=0.003772438790707047, 3=0.004136260285117419, 4=0.0057314757571447, 12=0.0037787006384372487}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,4,"Query{op=P, rect=(-73.983505..-73.93351),(40.7525..40.7775), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10513,11158,386,252,149,372,2.9113517495511304E-4,1,0,2293,0.865035131,"{17=[5.603061319097728E8, 5.662764682412723E8], 3=[7.122801871931842E7, 7.200607417096856E7], 4=[9.90239651409476E7, 1.0061372066166045E8], 12=[4.6555918548740596E8, 4.7039551239315134E8]}","{17=0.005299510511434413, 3=0.005432054868711389, 4=0.007963203512009876, 12=0.005167266019068136}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,5,"Query{op=P, rect=(-73.977005..-73.92701),(40.74925..40.77425), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11213,11683,481,252,376,675,8.809407799527657E-4,1,0,2673,0.523453325,"{17=[3.9024642359866834E8, 3.9203775783904433E8], 3=[4.9604655344988585E7, 4.986324801865326E7], 4=[6.92211880253622E7, 6.970459205628794E7], 12=[3.241988436110902E8, 3.256645992335552E8]}","{17=0.00228987659840419, 3=0.002599759972011199, 4=0.0034795847872269793, 12=0.0022554824995986334}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,6,"Query{op=ZI, rect=(-73.981..-73.95601),(40.753624..40.766125), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11361,11794,86,48,16,145,3.844680815379881E-4,1,0,1933,0.592950229,"{17=[2.776979533790389E8, 2.8218977117102975E8], 3=[3.474749316103796E7, 3.531278793052473E7], 4=[4.888237985740772E7, 5.002198861090022E7], 12=[2.3008583934446025E8, 2.3351606650559497E8]}","{17=0.008022711688491734, 3=0.008068691142531658, 4=0.011522329813547828, 12=0.007399079075926347}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,7,"Query{op=ZI, rect=(-73.983..-73.970505),(40.755814..40.762062), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11481,11884,42,12,16,85,7.106969308521086E-4,1,0,1867,0.570150819,"{17=[9.1942577034914E7, 9.47312234293933E7], 3=[1.093298239373144E7, 1.1243332607070187E7], 4=[1.6219517263166638E7, 1.6976334205182407E7], 12=[7.579329203643227E7, 7.809410696132755E7]}","{17=0.014938606207958484, 3=0.01399467013917908, 4=0.022798539833730865, 12=0.014951288668728361}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,8,"Query{op=ZI, rect=(-73.984..-73.97775),(40.756905..40.760033), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11625,11992,36,0,72,128,0.011585061589863306,2,0,13406,0.294521953,"{17=[1.6005714314569011E7, 1.6434304399939641E7], 3=[1991600.636497961, 2045310.351585161], 4=[2816209.7179877404, 2931263.2527804254], 12=[1.3262487525234146E7, 1.3606732449463485E7]}","{17=0.01321177059552512, 3=0.013304656764974512, 4=0.020018108023796017, 12=0.012811868917427057}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,9,"Query{op=P, rect=(-73.98325..-73.977005),(40.75728..40.760406), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,12033,12298,103,1,260,372,0.002002935550547302,1,0,2084,0.127211421,"{17=[1.743074599881243E7, 1.8257973776787885E7], 3=[2164099.46448452, 2273982.7000630326], 4=[2994978.417674794, 3217944.534972041], 12=[1.4446274923801254E7, 1.5125195213065159E7]}","{17=0.02317897036309536, 3=0.024759171079861024, 4=0.035887475025303324, 12=0.022958624854349123}",3
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,10,"Query{op=P, rect=(-73.984..-73.97775),(40.75728..40.760406), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,13549,13435,380,1,1300,1469,0.002283120123438836,1,0,3690,0.151068084,"{17=[1.6224055024844028E7, 1.6943109931510486E7], 3=[2012565.1957975624, 2100681.397852757], 4=[2785284.3933694526, 2966737.8945823046], 12=[1.3398462487271938E7, 1.3965370622306202E7]}","{17=0.02167972172516643, 3=0.02142254300805134, 4=0.03154603583385384, 12=0.020717424081782926}",3
