csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,0,"Query{op=null, rect=(-73.99..-73.94),(40.745..40.77), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,8969,10000,0,0,0,0,289.88783254,{},
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,1,"Query{op=P, rect=(-73.9965..-73.9465),(40.74825..40.77325), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9209,10180,340,270,0,1969239,3.806669588,"{null={12=Stats{count=61050478, mean=11.331367058451994, populationStandardDeviation=8.600572341570741, min=0.0, max=400.0}}}",{12=6.917853753119482E8}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,2,"Query{op=P, rect=(-73.9895..-73.93951),(40.75175..40.776752), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9461,10369,344,272,0,3480206,5.11085505,"{null={12=Stats{count=51024908, mean=11.21817606455164, populationStandardDeviation=8.419285164715724, min=0.0, max=400.0}}}",{12=5.724064016215495E8}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,3,"Query{op=P, rect=(-73.9895..-73.93951),(40.7495..40.7745), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10049,10810,437,321,0,6073268,8.674420136,"{null={12=Stats{count=51311256, mean=11.278990797490694, populationStandardDeviation=8.549662196907965, min=0.0, max=400.0}}}",{12=5.787391842316892E8}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,4,"Query{op=P, rect=(-73.983505..-73.93351),(40.7525..40.7775), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10477,11131,386,296,0,6164407,8.545296135,"{null={12=Stats{count=42232347, mean=11.077424262288288, populationStandardDeviation=8.17580398341171, min=0.0, max=400.0}}}",{12=4.6782562531117797E8}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,5,"Query{op=P, rect=(-73.977005..-73.92701),(40.74925..40.77425), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10913,11458,481,364,0,1179627,2.146638741,"{null={12=Stats{count=29559883, mean=10.987621018352094, populationStandardDeviation=8.026037649031386, min=0.0, max=400.0}}}",{12=3.2479279175082874E8}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,6,"Query{op=ZI, rect=(-73.981..-73.95601),(40.753624..40.766125), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11061,11569,86,52,0,4748138,6.345373883,"{null={12=Stats{count=20866088, mean=11.153513673035054, populationStandardDeviation=8.451883815161505, min=0.0, max=400.0}}}",{12=2.3273019781075266E8}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,7,"Query{op=ZI, rect=(-73.983..-73.970505),(40.755814..40.762062), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11181,11659,42,16,0,2568616,3.804553477,"{null={12=Stats{count=6552236, mean=11.753365051305815, populationStandardDeviation=9.186760811016438, min=0.0, max=400.0}}}",{12=7.701082161030781E7}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,8,"Query{op=ZI, rect=(-73.984..-73.97775),(40.756905..40.760033), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11325,11767,36,18,0,1151695,1.49883809,"{null={12=Stats{count=1151695, mean=11.724400800604014, populationStandardDeviation=9.09828797626723, min=0.0, max=350.0}}}",{12=1.3502933780051641E7}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,9,"Query{op=P, rect=(-73.98325..-73.977005),(40.75728..40.760406), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11537,11926,103,66,0,591486,0.815675463,"{null={12=Stats{count=1276398, mean=11.39994898930075, populationStandardDeviation=8.497382703595441, min=0.0, max=350.0}}}",{12=1.4550872090045499E7}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,10,"Query{op=P, rect=(-73.984..-73.97775),(40.75728..40.760406), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11885,12187,200,146,0,356322,0.520620802,"{null={12=Stats{count=1164549, mean=11.735031673250205, populationStandardDeviation=9.010591848329105, min=0.0, max=350.0}}}",{12=1.3666019400051853E7}
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,11,"Query{op=P, rect=(-73.984..-73.97775),(40.75678..40.759907), categoricalFilters={}, groupByCols=null, measureCols=[12], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,12349,12535,256,183,0,435125,0.692316797,"{null={12=Stats{count=1153094, mean=11.73243258576766, populationStandardDeviation=9.145669798786109, min=0.0, max=350.0}}}",{12=1.3528597620053174E7}
