csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,40,"Query{op=P, rect=(-73.98419..-73.97794),(40.752308..40.755436), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,26225,22942,2135,1953,0,605174,1.124302622,"{null={17=Stats{count=1483768, mean=13.613346913803982, populationStandardDeviation=11.122214110365247, min=0.0, max=410.0}, 12=Stats{count=1483768, mean=11.16959087272724, populationStandardDeviation=8.846141296856247, min=0.0, max=395.20001220703125}}}","{17=2.0199048523601107E7, 12=1.657308151004475E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,41,"Query{op=P, rect=(-73.98419..-73.97794),(40.752716..40.755844), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,26453,23113,2641,2371,0,72761,0.175738743,"{null={17=Stats{count=1348229, mean=13.669494806102508, populationStandardDeviation=11.353112558099927, min=3.0, max=410.0}, 12=Stats{count=1348229, mean=11.220914725961462, populationStandardDeviation=9.037789206278159, min=0.009999999776482582, max=400.0}}}","{17=1.842960931293678E7, 12=1.5128362640068296E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,42,"Query{op=P, rect=(-73.98494..-73.97869),(40.752716..40.755844), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,26921,23464,1881,1661,0,101644,0.215216303,"{null={17=Stats{count=1308763, mean=13.774188025291911, populationStandardDeviation=11.486463091918909, min=3.0, max=410.0}, 12=Stats{count=1308763, mean=11.27892265449728, populationStandardDeviation=9.134945637934717, min=0.009999999776482582, max=400.0}}}","{17=1.802714764254512E7, 12=1.4761436650067823E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,43,"Query{op=P, rect=(-73.98569..-73.97944),(40.752716..40.755844), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,27461,23869,1784,1537,0,131897,0.257194963,"{null={17=Stats{count=1264745, mean=13.910416442645742, populationStandardDeviation=11.707799930889259, min=3.0, max=495.5}, 12=Stats{count=1264745, mean=11.387733930618856, populationStandardDeviation=9.326701309735535, min=0.009999999776482582, max=400.0}}}","{17=1.759312964375399E7, 12=1.4402579550080545E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,44,"Query{op=P, rect=(-73.984566..-73.97832),(40.752716..40.755844), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,27853,24163,2457,2155,0,44764,0.105752704,"{null={17=Stats{count=1321278, mean=13.723964171204985, populationStandardDeviation=11.41555316285028, min=3.0, max=410.0}, 12=Stats{count=1321278, mean=11.246292899805503, populationStandardDeviation=9.081399577588098, min=0.009999999776482582, max=400.0}}}","{17=1.813317193220138E7, 12=1.4859479390069216E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,45,"Query{op=P, rect=(-73.984566..-73.97832),(40.752403..40.75553), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,28541,24679,2417,2178,0,194148,0.407589259,"{null={17=Stats{count=1314494, mean=13.714297691608538, populationStandardDeviation=11.376816625992992, min=0.009999999776482582, max=410.0}, 12=Stats{count=1314494, mean=11.210013472900668, populationStandardDeviation=9.029438999901883, min=0.009999999776482582, max=395.20001220703125}}}","{17=1.8027362029833272E7, 12=1.473549545004709E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,46,"Query{op=P, rect=(-73.98525..-73.979004),(40.752403..40.75553), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,29249,25210,2345,2115,0,93993,0.194933426,"{null={17=Stats{count=1264208, mean=13.794864768757156, populationStandardDeviation=11.516868167925477, min=0.009999999776482582, max=495.5}, 12=Stats{count=1264208, mean=11.263049213450891, populationStandardDeviation=9.141564308554129, min=0.009999999776482582, max=395.20001220703125}}}","{17=1.7439578399580948E7, 12=1.4238836920038324E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,47,"Query{op=P, rect=(-73.986..-73.97975),(40.752403..40.75553), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,29593,25468,2327,2037,0,143715,0.268335473,"{null={17=Stats{count=1200790, mean=13.897366110419036, populationStandardDeviation=11.808048383326467, min=2.5, max=495.5}, 12=Stats{count=1200790, mean=11.36840503340137, populationStandardDeviation=9.411328237151576, min=0.009999999776482582, max=395.20001220703125}}}","{17=1.6687818251730073E7, 12=1.365106708005803E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,48,"Query{op=P, rect=(-73.98694..-73.98069),(40.752403..40.75553), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,29869,25675,2011,1753,0,128020,0.247556482,"{null={17=Stats{count=1064698, mean=14.039373369410397, populationStandardDeviation=11.910373178874734, min=0.0, max=495.5}, 12=Stats{count=1064698, mean=11.47698870482583, populationStandardDeviation=9.495387182721522, min=0.0, max=395.20001220703125}}}","{17=1.4947692747664511E7, 12=1.221952692005065E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,49,"Query{op=P, rect=(-73.987625..-73.98138),(40.752403..40.75553), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,30145,25882,1603,1372,0,145058,0.278827885,"{null={17=Stats{count=1034997, mean=14.020246014386444, populationStandardDeviation=11.787336030613051, min=0.0, max=495.5}, 12=Stats{count=1034997, mean=11.462919167924717, populationStandardDeviation=9.406804718770932, min=0.0, max=300.0}}}","{17=1.4510912564151926E7, 12=1.1864086950044578E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,50,"Query{op=P, rect=(-73.988625..-73.982376),(40.751904..40.75503), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,30609,26230,891,808,0,246911,0.559775863,"{null={17=Stats{count=1030431, mean=13.799708318158912, populationStandardDeviation=11.60843230126297, min=0.0, max=495.5}, 12=Stats{count=1030431, mean=11.305344647071626, populationStandardDeviation=9.291676950074189, min=0.0, max=300.0}}}","{17=1.4219647241988806E7, 12=1.1649377590026664E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,51,"Query{op=P, rect=(-73.98937..-73.98312),(40.751904..40.75503), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,30897,26446,1002,896,0,149521,0.316290819,"{null={17=Stats{count=1119003, mean=13.647305898824387, populationStandardDeviation=11.34657767402923, min=0.0, max=495.5}, 12=Stats{count=1119003, mean=11.187945447889696, populationStandardDeviation=9.107011901308773, min=0.0, max=395.0}}}","{17=1.5271376242702186E7, 12=1.2519344520024914E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,52,"Query{op=P, rect=(-73.99049..-73.984245),(40.751904..40.75503), categoricalFilters={}, groupByCols=null, measureCols=[12, 17], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,31325,26767,767,624,0,124234,0.337342836,"{null={17=Stats{count=1113154, mean=13.474304759652904, populationStandardDeviation=11.123927687914135, min=0.0, max=495.5}, 12=Stats{count=1113154, mean=11.069793954866912, populationStandardDeviation=8.95481811846736, min=0.0, max=395.0}}}","{17=1.4998976240426669E7, 12=1.2322385420035923E7}"
