csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,32,"Query{op=P, rect=(-73.98463..-73.97838),(40.753498..40.756626), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,21949,19735,1809,1523,0,71429,0.197591035,"{null={17=Stats{count=1375792, mean=13.914248665973597, populationStandardDeviation=11.568571878564349, min=0.0, max=410.0}, 3=Stats{count=1375792, mean=1.7098493086164352, populationStandardDeviation=1.3586636777238106, min=0.0, max=8.0}, 4=Stats{count=1375792, mean=2.4897250673345384, populationStandardDeviation=3.0139576282354743, min=0.0, max=100.0}, 12=Stats{count=1375792, mean=11.443971974024752, populationStandardDeviation=9.236192467831176, min=0.0, max=400.0}}}","{17=1.914311200065715E7, 3=2352397.000000023, 4=3425343.829838319, 12=1.5744525090087462E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,33,"Query{op=P, rect=(-73.985504..-73.979256),(40.753498..40.756626), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,22241,19954,1644,1340,0,31513,0.09727924,"{null={17=Stats{count=1307327, mean=14.126626682388476, populationStandardDeviation=11.819653467934597, min=0.0, max=495.5}, 3=Stats{count=1307327, mean=1.7188002695576468, populationStandardDeviation=1.364408391582493, min=0.0, max=8.0}, 4=Stats{count=1307327, mean=2.548619358363296, populationStandardDeviation=3.078523886599232, min=0.0, max=100.0}, 12=Stats{count=1307327, mean=11.600590173757531, populationStandardDeviation=9.432555053414804, min=0.0, max=400.0}}}","{17=1.846812048080688E7, 3=2247033.9999999898, 4=3331878.8999110125, 12=1.5165764750087913E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,34,"Query{op=P, rect=(-73.98482..-73.97857),(40.753498..40.756626), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,22461,20119,1622,1364,0,37339,0.112894056,"{null={17=Stats{count=1375351, mean=13.950209380151511, populationStandardDeviation=11.613615342080227, min=0.0, max=410.0}, 3=Stats{count=1375351, mean=1.7119360803169783, populationStandardDeviation=1.3601336582749863, min=0.0, max=8.0}, 4=Stats{count=1375351, mean=2.500269552901229, populationStandardDeviation=3.0253421541895764, min=0.0, max=100.0}, 12=Stats{count=1375351, mean=11.46939169716463, populationStandardDeviation=9.271426887507186, min=0.0, max=400.0}}}","{17=1.918643442120076E7, 3=2354513.0000000363, 4=3438748.229852258, 12=1.5774439340087071E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,35,"Query{op=P, rect=(-73.98419..-73.97794),(40.753498..40.756626), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,22809,20380,1763,1507,0,106843,0.279690317,"{null={17=Stats{count=1344716, mean=13.858938035434551, populationStandardDeviation=11.53813162237997, min=0.0, max=410.0}, 3=Stats{count=1344716, mean=1.7124344471248767, populationStandardDeviation=1.3617430225037994, min=0.0, max=8.0}, 4=Stats{count=1344716, mean=2.4713412645308117, populationStandardDeviation=3.0048242661424935, min=0.0, max=100.0}, 12=Stats{count=1344716, mean=11.41326643699413, populationStandardDeviation=9.21611960657962, min=0.0, max=400.0}}}","{17=1.8636335719257407E7, 3=2302737.999999976, 4=3323252.139874815, 12=1.5347601990089E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,36,"Query{op=P, rect=(-73.983505..-73.97726),(40.75384..40.75697), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,23381,20809,1106,982,0,174731,0.419525488,"{null={17=Stats{count=1282087, mean=13.942381539159012, populationStandardDeviation=11.703580390210409, min=0.0, max=400.0}, 3=Stats{count=1282087, mean=1.7214549402653396, populationStandardDeviation=1.3655252318099902, min=0.0, max=8.0}, 4=Stats{count=1282087, mean=2.487502821567255, populationStandardDeviation=3.065586997092408, min=0.0, max=100.0}, 12=Stats{count=1282087, mean=11.521499118281957, populationStandardDeviation=9.37135241266287, min=0.0, max=400.0}}}","{17=1.787534612039576E7, 3=2207054.9999999683, 4=3189195.0299946973, 12=1.477156424006076E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,37,"Query{op=P, rect=(-73.983505..-73.97726),(40.753216..40.756344), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,24141,21379,1498,1380,0,373401,0.894526312,"{null={17=Stats{count=1360252, mean=13.673004977986974, populationStandardDeviation=11.382743904449695, min=0.0, max=410.0}, 3=Stats{count=1360252, mean=1.7098177396541245, populationStandardDeviation=1.3636411491264866, min=0.0, max=8.0}, 4=Stats{count=1360252, mean=2.4133216712836254, populationStandardDeviation=2.9507352109174936, min=0.0, max=100.0}, 12=Stats{count=1360252, mean=11.281970480508619, populationStandardDeviation=9.096369097242343, min=0.0, max=400.0}}}","{17=1.8598732367316738E7, 3=2325783.0000000023, 4=3282725.630006894, 12=1.534632291005281E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,38,"Query{op=P, rect=(-73.98419..-73.97794),(40.753216..40.756344), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,24809,21880,1878,1677,0,126007,0.287097231,"{null={17=Stats{count=1346641, mean=13.762517936613378, populationStandardDeviation=11.446963893999328, min=0.0, max=410.0}, 3=Stats{count=1346641, mean=1.7088867782876274, populationStandardDeviation=1.3617429136704708, min=0.0, max=8.0}, 4=Stats{count=1346641, mean=2.447343850315472, populationStandardDeviation=2.966792612254978, min=0.0, max=100.0}, 12=Stats{count=1346641, mean=11.325928803647605, populationStandardDeviation=9.136262779596048, min=0.0, max=400.0}}}","{17=1.8533170916678976E7, 3=2301257.000000029, 4=3295693.5699326773, 12=1.5251960090072814E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,39,"Query{op=P, rect=(-73.98419..-73.97794),(40.752747..40.755875), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,25741,22579,1888,1695,0,332880,0.717892233,"{null={17=Stats{count=1346067, mean=13.67164102759884, populationStandardDeviation=11.355588331086715, min=3.0, max=410.0}, 3=Stats{count=1346067, mean=1.7026069281840648, populationStandardDeviation=1.362514746329494, min=0.0, max=8.0}, 4=Stats{count=1346067, mean=2.423324329221314, populationStandardDeviation=2.932138502397736, min=0.0, max=176.5}, 12=Stats{count=1346067, mean=11.225078335676734, populationStandardDeviation=9.043300800207811, min=0.009999999776482582, max=400.0}}}","{17=1.8402944823096886E7, 3=2291822.9999999395, 4=3261956.909861946, 12=1.5109707520069376E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,40,"Query{op=P, rect=(-73.98419..-73.97794),(40.752308..40.755436), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,26225,22942,2135,1953,0,605174,1.271827287,"{null={17=Stats{count=1483768, mean=13.613346913803982, populationStandardDeviation=11.122214110365247, min=0.0, max=410.0}, 3=Stats{count=1483768, mean=1.6860304306333218, populationStandardDeviation=1.3541505996580199, min=0.0, max=8.0}, 4=Stats{count=1483768, mean=2.406835906740925, populationStandardDeviation=2.8714554627061326, min=0.0, max=176.5}, 12=Stats{count=1483768, mean=11.16959087272724, populationStandardDeviation=8.846141296856247, min=0.0, max=395.20001220703125}}}","{17=2.0199048523601107E7, 3=2501677.9999999427, 4=3571186.0996731687, 12=1.657308151004475E7}"
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0,valinor,41,"Query{op=P, rect=(-73.98419..-73.97794),(40.752716..40.755844), categoricalFilters={}, groupByCols=null, measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,26453,23113,2641,2371,0,72761,0.190597328,"{null={17=Stats{count=1348229, mean=13.669494806102508, populationStandardDeviation=11.353112558099927, min=3.0, max=410.0}, 3=Stats{count=1348229, mean=1.7018014002072406, populationStandardDeviation=1.362389893358047, min=0.0, max=8.0}, 4=Stats{count=1348229, mean=2.4226216910193585, populationStandardDeviation=2.930596089066153, min=0.0, max=176.5}, 12=Stats{count=1348229, mean=11.220914725961462, populationStandardDeviation=9.037789206278159, min=0.009999999776482582, max=400.0}}}","{17=1.842960931293678E7, 3=2294418.000000008, 4=3266248.819861339, 12=1.5128362640068296E7}"
