csv,errorBound,initMode,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles With Stats,Fully Contained Tiles Without Stats,Sampling Tiles,Sampling Rate,Sampling Rounds,Expanded nodes,I/Os,Time (sec),Confidence Interval,Error Bound,run
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,0,"Query{op=null, rect=(-73.99..-73.94),(40.745..40.77), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,8969,10000,0,0,0,0,0.0,0,0,0,282.961308026,null,,2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,1,"Query{op=P, rect=(-73.9965..-73.9465),(40.74825..40.77325), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9209,10180,340,270,0,149,9.270116566539764E-4,1,0,1957,0.838125232,"{17=[8.31001538922985E8, 8.328363951185786E8], 3=[1.0338793328064597E8, 1.0363630060777709E8], 4=[1.4827176882686087E8, 1.4875059012993738E8], 12=[6.908958904386294E8, 6.923588222586212E8]}","{17=0.0011027854083940846, 3=0.001199701708665573, 4=0.0016120715785781971, 12=0.001057601182604476}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,2,"Query{op=P, rect=(-73.9895..-73.93951),(40.75175..40.776752), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,9461,10369,344,270,8,172,5.245400725524925E-4,1,0,2002,0.601943313,"{17=[6.861995092008234E8, 6.893711600456332E8], 3=[8.614000433355267E7, 8.654891372170933E7], 4=[1.2225152265631889E8, 1.2310230741610317E8], 12=[5.702815158750916E8, 5.729447471484587E8]}","{17=0.002305698220904357, 3=0.002367895941219562, 4=0.003467582957776334, 12=0.0023295749577372194}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,3,"Query{op=P, rect=(-73.9895..-73.93951),(40.7495..40.7745), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10069,10825,437,252,255,573,2.988628047307749E-4,1,0,2507,0.733705811,"{17=[6.928554361799191E8, 6.982396486889275E8], 3=[8.644420225656155E7, 8.715611009255362E7], 4=[1.2342020822348724E8, 1.2508909663401122E8], 12=[5.751783251702089E8, 5.795510465123279E8]}","{17=0.003870484891775773, 3=0.004100844211388291, 4=0.006715597275043539, 12=0.003786793208306081}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,4,"Query{op=P, rect=(-73.983505..-73.93351),(40.7525..40.7775), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,10513,11158,386,252,149,372,2.9113517495511304E-4,1,0,2293,0.893803823,"{17=[5.615016115209135E8, 5.675534491907858E8], 3=[7.116952738846679E7, 7.195243248416327E7], 4=[9.939291310282092E7, 1.0100224608369137E8], 12=[4.665373646216911E8, 4.714458378816632E8]}","{17=0.0053600908232566725, 3=0.005470195464016965, 4=0.008030797686947184, 12=0.005233007634755104}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,5,"Query{op=P, rect=(-73.977005..-73.92701),(40.74925..40.77425), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11213,11683,481,252,376,675,8.809407799527657E-4,1,0,2673,0.51585689,"{17=[3.907131046448059E8, 3.9250053645231915E8], 3=[4.948729558533273E7, 4.973006562668414E7], 4=[6.92948537445956E7, 6.979595392632015E7], 12=[3.24628756564462E8, 3.261103529437404E8]}","{17=0.0022821765527594796, 3=0.0024468504139374785, 4=0.0036026836720233503, 12=0.002276790126227608}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,6,"Query{op=ZI, rect=(-73.981..-73.95601),(40.753624..40.766125), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11361,11794,86,48,16,145,3.844680815379881E-4,1,0,1933,0.606747292,"{17=[2.7780424023862773E8, 2.8214799522892374E8], 3=[3.491611630543329E7, 3.5497402280655205E7], 4=[4.866074739975264E7, 4.9766394444380514E7], 12=[2.3003775567617586E8, 2.3361779001712373E8]}","{17=0.0077573669951849335, 3=0.008255317826664622, 4=0.011233151993570544, 12=0.0077213232413615935}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,7,"Query{op=ZI, rect=(-73.983..-73.970505),(40.755814..40.762062), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11481,11884,42,12,16,85,7.106969308521086E-4,1,0,1867,0.547267634,"{17=[9.288827631792285E7, 9.575498385420187E7], 3=[1.1076351557151478E7, 1.1397262272402883E7], 4=[1.633073514790813E7, 1.7097851667451862E7], 12=[7.653993792392762E7, 7.886245461796556E7]}","{17=0.015196448225414142, 3=0.014279444226695083, 4=0.022947919509156506, 12=0.014945179775220275}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,8,"Query{op=ZI, rect=(-73.984..-73.97775),(40.756905..40.760033), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,11625,11992,36,0,72,128,0.0015850615898633056,1,0,1890,0.201144373,"{17=[1.5815734004539857E7, 1.693155318718233E7], 3=[1878987.5534403392, 2016873.9541791396], 4=[2749301.2593115726, 3034561.184749415], 12=[1.3109811186234599E7, 1.4012817454806654E7]}","{17=0.03407363718740428, 3=0.0353930447653552, 4=0.049319970555446804, 12=0.03329346430698274}",2
/data-nonraid/maroulis/data/taxi_data/yellow_tripdata_2014_cleaned.csv,0.05,valinor,9,"Query{op=P, rect=(-73.98325..-73.977005),(40.75728..40.760406), categoricalFilters={}, groupByCols=[], measureCols=[12, 17, 4, 3], aggregateTypes=[COUNT, MIN, MAX, SUM, AVG]}",0.0,12033,12298,103,1,260,372,0.002002935550547302,1,0,2084,0.164601026,"{17=[1.701371476579433E7, 1.7784925795605913E7], 3=[2168762.3478050325, 2276931.396466121], 4=[2913778.588553495, 3126390.9554141024], 12=[1.4111518746498564E7, 1.4732044434950767E7]}","{17=0.022162102236460215, 3=0.024331196632804107, 4=0.03519973492680294, 12=0.021513489319908034}",2
