csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,44,"Query{rect=(540.39996..570.39996),(385.70004..415.70004), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15299,14290,684,597,0,20377,0.567524046,"{null=Stats{count=90050, mean=499.76478314074905, populationStandardDeviation=289.03346371512833, min=0.010436000302433968, max=999.979248046875}}",4.500381872182445E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,45,"Query{rect=(535.89996..565.89996),(390.20004..420.20004), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15411,14374,512,445,0,24918,0.686934778,"{null=Stats{count=89686, mean=499.45624434396956, populationStandardDeviation=289.0859002302902, min=0.011048000305891037, max=999.9813842773438}}",4.479423273023325E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,46,"Query{rect=(539.19995..569.19995),(390.20004..420.20004), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15463,14413,597,525,0,9283,0.258848531,"{null=Stats{count=89832, mean=499.5371365130695, populationStandardDeviation=288.93424391684766, min=0.010436000302433968, max=999.9813842773438}}",4.487442004724206E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,47,"Query{rect=(534.39996..564.39996),(395.00003..425.00003), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15623,14533,512,447,0,27341,0.72519661,"{null=Stats{count=89917, mean=499.48023114877236, populationStandardDeviation=289.365540805068, min=0.003089000005275011, max=999.9813842773438}}",4.491176394420417E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,48,"Query{rect=(537.99994..567.99994),(391.40002..421.40002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15631,14539,621,527,0,7880,0.237665731,"{null=Stats{count=89836, mean=499.5586298406101, populationStandardDeviation=289.0095907171463, min=0.010436000302433968, max=999.9813842773438}}",4.487834907036105E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,49,"Query{rect=(543.39996..573.39996),(396.80002..426.80002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15731,14614,553,486,0,22422,0.623631393,"{null=Stats{count=89753, mean=499.3388550390767, populationStandardDeviation=288.8465906702267, min=0.011048000305891037, max=999.9813842773438}}",4.481716025632225E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,50,"Query{rect=(538.89996..568.89996),(396.80002..426.80002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15747,14626,615,524,0,11109,0.316793373,"{null=Stats{count=90008, mean=499.34195984287146, populationStandardDeviation=288.4030444120297, min=0.011048000305891037, max=999.9813842773438}}",4.494477112153717E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,51,"Query{rect=(535.89996..565.89996),(399.80002..429.80002), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15803,14668,585,504,0,15134,0.424060353,"{null=Stats{count=89767, mean=499.77242900045445, populationStandardDeviation=288.6646271082759, min=0.011048000305891037, max=999.9813842773438}}",4.486307163408379E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,52,"Query{rect=(539.8..569.8),(403.7..433.7), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15823,14683,551,481,0,22536,0.614457681,"{null=Stats{count=89916, mean=500.5007277461275, populationStandardDeviation=288.5348339279683, min=0.0058280001394450665, max=999.9813842773438}}",4.50030234360208E7
/data-nonraid/maroulis/data/synth50_c20_cc10.csv,0,valinor,,0,,53,"Query{rect=(535.0..565.0),(403.7..433.7), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,15847,14701,534,483,0,16296,0.437876205,"{null=Stats{count=89900, mean=500.7337304513395, populationStandardDeviation=289.012060283866, min=0.011048000305891037, max=999.9869995117188}}",4.501596236757542E7
