csv,errorBound,initMode,initCatBudget (Gb),initCatBudget (nodes),binCount,i,query,indexUtil,Tree Node Count,Leaf tiles,Overlapped tiles,Fully Contained Tiles,Expanded nodes,I/Os,Time (sec),Query Result,Query Result Sum
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,85,"Query{rect=(497.50003..527.5),(448.09998..478.09998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18103,16393,417,355,0,28579,0.494818811,"{null=Stats{count=90338, mean=501.52121596261514, populationStandardDeviation=289.23218422172795, min=0.004184999968856573, max=999.9921875}}",4.530642360763073E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,86,"Query{rect=(502.30002..532.3),(443.3..473.3), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18111,16399,514,420,0,9915,0.193331504,"{null=Stats{count=90517, mean=500.81480682875383, populationStandardDeviation=289.2271661221533, min=0.02065099962055683, max=999.9921875}}",4.533225386971831E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,87,"Query{rect=(502.30002..532.3),(437.9..467.9), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18139,16420,528,442,0,12846,0.244437651,"{null=Stats{count=90194, mean=500.39541524227474, populationStandardDeviation=289.38903593415245, min=0.02759700082242489, max=999.9921875}}",4.513266408236173E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,88,"Query{rect=(502.30002..532.3),(440.9..470.9), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18175,16447,544,457,0,8684,0.171569229,"{null=Stats{count=90354, mean=500.2296937652515, populationStandardDeviation=289.369976461252, min=0.02759700082242489, max=999.9921875}}",4.5197753750465535E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,89,"Query{rect=(497.2..527.2),(440.9..470.9), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18267,16516,507,427,0,15448,0.289262725,"{null=Stats{count=90257, mean=500.8650626007951, populationStandardDeviation=289.40506661190034, min=0.02759700082242489, max=999.99609375}}",4.520657795515996E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,90,"Query{rect=(497.2..527.2),(444.8..474.8), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18283,16528,554,461,0,13308,0.253589516,"{null=Stats{count=90464, mean=501.54388145600797, populationStandardDeviation=289.19328354353826, min=0.004184999968856573, max=999.99609375}}",4.537166569203631E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,91,"Query{rect=(501.40002..531.4),(444.8..474.8), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18283,16528,553,457,0,8607,0.169089991,"{null=Stats{count=90384, mean=501.15744279111044, populationStandardDeviation=288.9686636311042, min=0.004184999968856573, max=999.9921875}}",4.529661430923173E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,92,"Query{rect=(496.60004..526.60004),(449.59998..479.59998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18299,16540,551,458,0,12671,0.24246591,"{null=Stats{count=90443, mean=501.49240029730424, populationStandardDeviation=289.30563061186245, min=0.004184999968856573, max=999.9921875}}",4.535647716008909E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,93,"Query{rect=(496.60004..526.60004),(445.69998..475.69998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18299,16540,559,463,0,7450,0.149971301,"{null=Stats{count=90495, mean=501.86087537006625, populationStandardDeviation=289.4312891099945, min=0.004184999968856573, max=999.99609375}}",4.5415899916614145E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,94,"Query{rect=(490.60004..520.60004),(451.69998..481.69998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18355,16582,441,392,0,31366,0.539903641,"{null=Stats{count=90377, mean=501.1143430394076, populationStandardDeviation=288.5703190829344, min=0.029200000688433647, max=999.9921875}}",4.528921098087254E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,95,"Query{rect=(490.60004..520.60004),(457.69998..487.69998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18491,16684,374,319,0,37504,0.624260403,"{null=Stats{count=90278, mean=499.89065528504347, populationStandardDeviation=288.5839396997196, min=0.00698099983856082, max=999.99560546875}}",4.5129128577823155E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,96,"Query{rect=(495.70004..525.7),(462.8..492.8), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18659,16810,383,327,0,34641,0.587568356,"{null=Stats{count=90456, mean=500.38286176091196, populationStandardDeviation=288.98655824841984, min=0.004184999968856573, max=999.99560546875}}",4.526263214344505E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,97,"Query{rect=(489.70004..519.7),(456.8..486.8), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18727,16861,513,447,0,22935,0.414347349,"{null=Stats{count=90297, mean=500.18594569877087, populationStandardDeviation=288.71747370974504, min=0.00698099983856082, max=999.99560546875}}",4.516529033876191E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,98,"Query{rect=(486.40005..516.4),(460.09998..490.09998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18807,16921,475,423,0,19206,0.352558321,"{null=Stats{count=90160, mean=499.4801087001337, populationStandardDeviation=288.82657615747695, min=0.011501999571919441, max=999.99560546875}}",4.5033126600404054E7
/data-nonraid/maroulis/data/data_10_cols.csv,0,valinor,,0,,99,"Query{rect=(489.70004..519.7),(460.09998..490.09998), categoricalFilters={}, groupByCols=null, measureCol=9}",0.0,18907,16996,556,484,0,10249,0.200181609,"{null=Stats{count=90352, mean=499.84913552136004, populationStandardDeviation=288.5177641956241, min=0.00698099983856082, max=999.99560546875}}",4.516236909262592E7
